Date,Close,Open,High,Low
29.05.2020,34.05,34.05,34.05,34.05
28.05.2020,34.20,34.20,34.20,34.20
27.05.2020,34.05,34.05,34.05,34.05
26.05.2020,34.30,34.30,34.30,34.30
22.05.2020,34.10,35.05,35.05,35.05
21.05.2020,34.05,34.05,34.05,34.05
20.05.2020,33.90,33.90,33.90,33.90
19.05.2020,33.60,33.60,33.60,33.60
18.05.2020,33.55,33.55,33.55,33.55
15.05.2020,33.55,33.55,33.55,33.55
14.05.2020,33.45,33.45,33.45,33.45
13.05.2020,33.55,33.55,33.55,33.55
12.05.2020,33.70,33.70,33.70,33.70
11.05.2020,33.80,33.80,33.80,33.80
08.05.2020,33.90,33.90,33.90,33.90
07.05.2020,34.00,34.00,34.00,34.00
06.05.2020,34.15,34.15,34.15,34.15
05.05.2020,34.15,34.15,34.15,34.15
04.05.2020,34.15,34.15,34.15,34.15
01.05.2020,34.15,34.15,34.15,34.15
30.04.2020,33.50,33.50,33.50,33.50
29.04.2020,33.55,33.55,33.55,33.55
28.04.2020,33.40,33.40,33.40,33.40
27.04.2020,32.25,31.90,31.90,31.90
24.04.2020,32.10,32.10,32.10,32.10
23.04.2020,32.05,32.05,32.05,32.05
22.04.2020,31.90,31.90,31.90,31.90
21.04.2020,31.75,31.75,31.75,31.75
20.04.2020,31.75,31.75,31.75,31.75
17.04.2020,31.65,31.65,31.65,31.65
16.04.2020,32.35,29.00,32.10,29.00
15.04.2020,31.70,29.00,29.00,29.00
14.04.2020,30.95,30.95,30.95,30.95
13.04.2020,29.75,29.75,29.75,29.75
09.04.2020,29.55,29.55,29.55,29.55
08.04.2020,29.25,29.25,29.25,29.25
07.04.2020,28.95,28.95,28.95,28.95
06.04.2020,27.75,27.75,27.75,27.75
03.04.2020,27.75,26.70,26.70,26.70
02.04.2020,27.55,27.55,27.55,27.55
01.04.2020,27.45,27.45,27.45,27.45
31.03.2020,27.40,27.40,27.40,27.40
30.03.2020,27.20,27.20,27.20,27.20
27.03.2020,26.70,26.70,26.70,26.70
26.03.2020,26.35,26.35,26.35,26.35
25.03.2020,25.35,25.35,25.35,25.35
24.03.2020,25.35,25.35,25.35,25.35
23.03.2020,24.15,24.15,24.15,24.15
20.03.2020,24.00,24.00,24.00,24.00
19.03.2020,24.00,24.00,24.00,24.00
18.03.2020,24.00,24.00,24.00,24.00
17.03.2020,24.00,24.00,24.00,24.00
16.03.2020,23.90,23.90,23.90,23.90
13.03.2020,23.95,23.95,23.95,23.95
12.03.2020,24.10,24.10,24.10,24.10
11.03.2020,24.25,24.25,24.25,24.25
10.03.2020,24.20,24.20,24.20,24.20
09.03.2020,24.40,24.40,24.40,24.40
06.03.2020,24.35,24.35,24.35,24.35
05.03.2020,24.45,24.45,24.45,24.45
04.03.2020,24.60,24.60,24.60,24.60
03.03.2020,24.75,24.75,24.75,24.75
02.03.2020,24.75,24.75,24.75,24.75
28.02.2020,24.90,24.90,24.90,24.90
27.02.2020,24.85,24.85,24.85,24.85
26.02.2020,24.85,24.85,24.85,24.85
25.02.2020,24.85,24.85,24.85,24.85
24.02.2020,24.60,24.60,24.60,24.60
21.02.2020,24.55,24.55,24.55,24.55
20.02.2020,24.55,24.55,24.55,24.55
19.02.2020,24.60,24.60,24.60,24.60
18.02.2020,24.60,24.60,24.60,24.60
14.02.2020,24.55,24.55,24.55,24.55
13.02.2020,24.50,24.50,24.50,24.50
12.02.2020,24.50,24.50,24.50,24.50
11.02.2020,24.60,24.60,24.60,24.60
10.02.2020,24.60,24.60,24.60,24.60
07.02.2020,24.85,24.85,24.85,24.85
06.02.2020,24.85,24.85,24.85,24.85
05.02.2020,24.85,24.85,24.85,24.85
04.02.2020,24.85,24.85,24.85,24.85
03.02.2020,24.80,24.80,24.80,24.80
31.01.2020,24.80,24.80,24.80,24.80
30.01.2020,24.65,24.65,24.65,24.65
29.01.2020,24.50,24.50,24.50,24.50
28.01.2020,24.50,24.50,24.50,24.50
27.01.2020,24.40,24.40,24.40,24.40
24.01.2020,24.45,24.45,24.45,24.45
23.01.2020,24.45,24.45,24.45,24.45
22.01.2020,24.55,24.55,24.55,24.55
21.01.2020,24.55,24.85,24.85,24.85
17.01.2020,24.60,24.60,24.60,24.60
16.01.2020,24.55,24.55,24.55,24.55
15.01.2020,24.60,24.60,24.60,24.60
14.01.2020,24.60,24.60,24.60,24.60
13.01.2020,24.60,24.60,24.60,24.60
10.01.2020,24.60,24.60,24.60,24.60
09.01.2020,24.60,24.60,24.60,24.60
08.01.2020,24.65,24.65,24.65,24.65
07.01.2020,24.80,24.80,24.80,24.80
06.01.2020,25.00,25.00,25.00,25.00
03.01.2020,25.05,25.05,25.05,25.05
02.01.2020,25.05,25.05,25.05,25.05
31.12.2019,25.05,25.05,25.05,25.05
30.12.2019,24.90,24.90,24.90,24.90
27.12.2019,25.05,25.05,25.05,25.05
26.12.2019,25.05,25.05,25.05,25.05
24.12.2019,25.10,25.10,25.10,25.10
23.12.2019,25.05,25.05,25.05,25.05
20.12.2019,25.25,25.25,25.25,25.25
19.12.2019,25.45,25.45,25.45,25.45
18.12.2019,25.50,25.50,25.50,25.50
