"Date","Price","Open","High","Low","Vol.","Change %"
"03/04/2024","108,500.00","108,500.00","110,000.00","107,000.00","","3.83%"
"03/01/2024","104,500.00","104,500.00","106,000.00","103,000.00","","2.96%"
"02/29/2024","101,500.00","101,500.00","103,000.00","100,000.00","","3.05%"
"02/28/2024","98,500.00","98,500.00","100,000.00","97,000.00","","2.07%"
"02/27/2024","96,500.00","96,500.00","98,000.00","95,000.00","","1.05%"
"02/26/2024","95,500.00","95,500.00","97,000.00","94,000.00","","0.00%"
"02/23/2024","95,500.00","95,500.00","97,000.00","94,000.00","","0.00%"
"02/22/2024","95,500.00","95,500.00","97,000.00","94,000.00","","0.00%"
"02/21/2024","95,500.00","95,500.00","97,000.00","94,000.00","","0.00%"
"02/20/2024","95,500.00","95,500.00","97,000.00","94,000.00","","-2.05%"
"02/19/2024","97,500.00","97,500.00","99,000.00","96,000.00","","0.00%"
"02/07/2024","97,500.00","97,500.00","99,000.00","96,000.00","","0.00%"
"02/06/2024","97,500.00","97,500.00","99,000.00","96,000.00","","0.00%"
"02/05/2024","97,500.00","97,500.00","99,000.00","96,000.00","","2.09%"
"02/02/2024","95,500.00","95,500.00","98,000.00","93,000.00","","0.00%"
"02/01/2024","95,500.00","95,500.00","98,000.00","93,000.00","","0.00%"
"01/31/2024","95,500.00","95,500.00","98,000.00","93,000.00","","0.00%"
"01/30/2024","95,500.00","95,500.00","98,000.00","93,000.00","","0.00%"
"01/29/2024","95,500.00","95,500.00","98,000.00","93,000.00","","0.00%"
"01/26/2024","95,500.00","95,500.00","98,000.00","93,000.00","","0.00%"
"01/25/2024","95,500.00","95,500.00","98,000.00","93,000.00","","0.00%"
"01/24/2024","95,500.00","95,500.00","98,000.00","93,000.00","","0.00%"
"01/23/2024","95,500.00","95,500.00","98,000.00","93,000.00","","0.00%"
"01/22/2024","95,500.00","95,500.00","98,000.00","93,000.00","","0.00%"
"01/19/2024","95,500.00","95,500.00","98,000.00","93,000.00","","0.00%"
"01/18/2024","95,500.00","95,500.00","98,000.00","93,000.00","","0.00%"
"01/17/2024","95,500.00","95,500.00","98,000.00","93,000.00","","0.00%"
"01/16/2024","95,500.00","95,500.00","98,000.00","93,000.00","","0.00%"
"01/15/2024","95,500.00","95,500.00","98,000.00","93,000.00","","0.00%"
"01/12/2024","95,500.00","95,500.00","98,000.00","93,000.00","","0.00%"
"01/11/2024","95,500.00","95,500.00","98,000.00","93,000.00","","0.00%"
"01/10/2024","95,500.00","95,500.00","98,000.00","93,000.00","","0.00%"
"01/09/2024","95,500.00","95,500.00","98,000.00","93,000.00","","0.00%"
"01/08/2024","95,500.00","95,500.00","98,000.00","93,000.00","","-1.04%"
"01/05/2024","96,500.00","96,500.00","99,000.00","94,000.00","","0.00%"
"01/04/2024","96,500.00","96,500.00","99,000.00","94,000.00","","0.00%"
"01/03/2024","96,500.00","96,500.00","99,000.00","94,000.00","","0.00%"
"01/02/2024","96,500.00","96,500.00","99,000.00","94,000.00","","0.00%"
"12/29/2023","96,500.00","96,500.00","99,000.00","94,000.00","","0.00%"
"12/28/2023","96,500.00","96,500.00","99,000.00","94,000.00","","0.00%"
"12/27/2023","96,500.00","96,500.00","99,000.00","94,000.00","","0.00%"
"12/26/2023","96,500.00","96,500.00","99,000.00","94,000.00","","0.00%"
"12/25/2023","96,500.00","96,500.00","99,000.00","94,000.00","","0.00%"
"12/22/2023","96,500.00","96,500.00","99,000.00","94,000.00","","0.00%"
"12/21/2023","96,500.00","96,500.00","99,000.00","94,000.00","","-1.03%"
"12/20/2023","97,500.00","97,500.00","100,000.00","95,000.00","","0.00%"
"12/19/2023","97,500.00","97,500.00","100,000.00","95,000.00","","0.00%"
"12/18/2023","97,500.00","97,500.00","100,000.00","95,000.00","","0.00%"
"12/15/2023","97,500.00","97,500.00","100,000.00","95,000.00","","0.00%"
"12/14/2023","97,500.00","97,500.00","100,000.00","95,000.00","","0.00%"
"12/13/2023","97,500.00","97,500.00","100,000.00","95,000.00","","0.00%"
"12/12/2023","97,500.00","97,500.00","100,000.00","95,000.00","","-1.02%"
"12/11/2023","98,500.00","98,500.00","101,000.00","96,000.00","","0.00%"
"12/08/2023","98,500.00","98,500.00","101,000.00","96,000.00","","0.00%"
"12/07/2023","98,500.00","98,500.00","101,000.00","96,000.00","","0.00%"
"12/06/2023","98,500.00","98,500.00","101,000.00","96,000.00","","-4.83%"
"12/05/2023","103,500.00","103,500.00","106,000.00","101,000.00","","-4.61%"
"12/04/2023","108,500.00","108,500.00","111,000.00","106,000.00","","-3.56%"
"12/01/2023","112,500.00","112,500.00","115,000.00","110,000.00","","-2.60%"
"11/30/2023","115,500.00","115,500.00","118,000.00","113,000.00","","-2.53%"
"11/29/2023","118,500.00","118,500.00","121,000.00","116,000.00","","-2.47%"
"11/28/2023","121,500.00","121,500.00","124,000.00","119,000.00","","-2.41%"
"11/27/2023","124,500.00","124,500.00","127,000.00","122,000.00","","-1.58%"
"11/24/2023","126,500.00","126,500.00","129,000.00","124,000.00","","-3.07%"
"11/23/2023","130,500.00","130,500.00","133,000.00","128,000.00","","-2.25%"
"11/22/2023","133,500.00","133,500.00","136,000.00","131,000.00","","-2.91%"
"11/21/2023","137,500.00","137,500.00","140,000.00","135,000.00","","-2.14%"
"11/20/2023","140,500.00","140,500.00","143,000.00","138,000.00","","0.00%"
"11/17/2023","140,500.00","140,500.00","143,000.00","138,000.00","","-1.40%"
"11/16/2023","142,500.00","142,500.00","145,000.00","140,000.00","","-1.38%"
"11/15/2023","144,500.00","144,500.00","147,000.00","142,000.00","","-1.37%"
"11/14/2023","146,500.00","146,500.00","149,000.00","144,000.00","","-1.35%"
"11/13/2023","148,500.00","148,500.00","151,000.00","146,000.00","","0.00%"
"11/10/2023","148,500.00","148,500.00","151,000.00","146,000.00","","-1.98%"
"11/09/2023","151,500.00","151,500.00","154,000.00","149,000.00","","-1.30%"
"11/08/2023","153,500.00","153,500.00","156,000.00","151,000.00","","-2.54%"
"11/07/2023","157,500.00","157,500.00","160,000.00","155,000.00","","-2.48%"
"11/06/2023","161,500.00","161,500.00","164,000.00","159,000.00","","-0.62%"
"11/03/2023","162,500.00","162,500.00","165,000.00","160,000.00","","-0.61%"
"11/02/2023","163,500.00","163,500.00","166,000.00","161,000.00","","0.00%"
"11/01/2023","163,500.00","163,500.00","166,000.00","161,000.00","","0.00%"
