Date,High,Low,Open,Close,returns
2023-05-21,305.0,285.0,287.5,297.5,11.214948
2023-05-28,300.0,295.0,297.5,297.5,0.0
2023-06-04,315.0,295.0,297.5,312.5,5.0420165
2023-06-11,315.0,310.0,312.5,312.5,0.0
2023-06-18,315.0,308.0,312.5,310.5,-0.6399989
2023-06-25,313.0,305.0,310.5,307.5,-0.96618533
2023-07-02,310.0,305.0,307.5,307.5,0.0
2023-07-09,310.0,305.0,307.5,307.5,0.0
2023-07-16,310.0,292.0,307.5,294.5,-4.227644
2023-07-23,297.0,267.0,294.5,269.5,-8.488965
2023-07-30,267.0,262.0,264.5,264.5,-1.8552899
2023-08-06,267.0,252.0,264.5,254.5,-3.7807167
2023-08-13,243.0,215.0,240.5,217.5,-14.538312
2023-08-20,220.0,215.0,217.5,217.5,0.0
2023-08-27,214.0,199.0,211.5,201.5,-7.356322
2023-09-03,204.0,198.0,201.5,200.5,-0.4962802
2023-09-10,197.0,183.0,194.5,185.5,-7.4812946
2023-09-17,185.0,170.0,182.5,172.5,-7.0080876
2023-09-24,172.0,164.0,169.5,166.5,-3.4782588
2023-10-08,172.0,164.0,166.5,169.5,1.8018007
2023-10-15,177.0,166.0,172.5,168.5,-0.58997273
2023-10-22,168.0,161.0,164.5,163.5,-2.9673576
2023-10-29,166.0,160.0,163.5,162.5,-0.61162114
2023-11-05,164.0,146.0,161.5,148.5,-8.615387
2023-11-12,151.0,138.0,148.5,140.5,-5.387205
2023-11-19,143.0,124.0,140.5,126.5,-9.964413
2023-11-26,127.0,110.0,124.5,112.5,-11.067194
2023-12-03,111.0,96.0,108.5,98.5,-12.444443
2023-12-10,101.0,95.0,98.5,97.5,-1.015228
2023-12-17,100.0,94.0,97.5,96.5,-1.025641
2023-12-24,99.0,94.0,96.5,96.5,0.0
2023-12-31,99.0,94.0,96.5,96.5,0.0
2024-01-07,98.0,93.0,95.5,95.5,-1.0362685
2024-01-14,98.0,93.0,95.5,95.5,0.0
2024-01-21,98.0,93.0,95.5,95.5,0.0
2024-01-28,98.0,93.0,95.5,95.5,0.0
2024-02-04,99.0,96.0,97.5,97.5,2.094245
2024-02-18,99.0,94.0,97.5,95.5,-2.051282
2024-02-25,106.0,94.0,95.5,104.5,9.424078
2024-03-03,110.0,107.0,108.5,108.5,3.8277507
2024-03-10,118.0,109.0,110.5,113.5,4.6082973
2024-03-17,117.0,113.0,115.5,114.5,0.881052
2024-03-24,114.0,106.0,112.5,107.5,-6.113535
2024-03-31,111.0,106.0,107.5,109.5,1.8604636
2024-04-07,114.0,110.0,112.5,111.5,1.826489
2024-04-14,113.0,109.0,111.5,110.5,-0.89685917
2024-04-21,112.0,109.0,110.5,110.5,0.0
2024-04-28,112.0,109.0,110.5,110.5,0.0
2024-05-05,112.0,109.0,110.5,110.5,0.0
2024-05-12,110.0,104.0,108.5,105.5,-4.5248866
2024-05-19,107.0,104.0,105.5,105.5,0.0
2024-05-26,107.0,104.0,105.5,105.5,0.0
2024-06-02,105.0,100.0,103.5,101.5,-3.7914693
2024-06-09,102.0,96.0,100.5,97.5,-3.9408863
2024-06-16,99.0,92.0,97.5,93.5,-4.102564
2024-06-23,93.0,90.0,91.5,91.5,-2.1390378
2024-06-30,93.0,90.0,91.5,91.5,0.0
2024-07-07,92.0,89.0,90.5,90.5,-1.0928988
2024-07-14,90.0,84.0,88.5,85.5,-5.524862
2024-07-21,87.0,84.0,85.5,85.5,0.0
2024-07-28,87.0,78.0,85.5,79.5,-7.017541
2024-08-04,81.0,76.0,79.5,77.5,-2.5157213
2024-08-11,78.0,72.0,76.5,73.5,-5.161291
2024-08-18,76.0,72.0,73.5,74.0,0.6802678
2024-08-25,76.5,72.5,74.0,75.0,1.3513565
2024-09-01,76.5,71.0,75.0,72.5,-3.333336
2024-09-08,74.0,70.0,71.5,72.5,0.0
